City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Namibe,AO,-15.1961,12.1522,67.37,79,85,5.77,overcast clouds
323,Funtua,NG,11.5233,7.3081,67.21,33,18,8.61,few clouds
324,Hudiksvall,SE,61.729,17.1036,44.28,88,100,5.14,overcast clouds
325,Betioky,MG,-23.7167,44.3833,70.92,76,8,3.49,clear sky
326,Heiligenhafen,DE,54.3667,10.9833,55.06,92,100,13.53,overcast clouds
327,Sabla,NG,12.7525,4.7077,76.35,23,49,9.64,scattered clouds
328,Nikel,RU,69.4128,30.222,32.18,93,100,2.82,overcast clouds
329,Sisimiut,GL,66.9395,-53.6735,30.49,67,100,14.74,overcast clouds
330,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,45,0,8.01,clear sky
331,Bogande,BF,12.9714,-0.1436,81.05,32,100,7.65,overcast clouds
332,Nouadhibou,MR,20.931,-17.0347,70.81,81,100,17.07,overcast clouds
333,Krasnoselkup,RU,65.7,82.4667,15.6,94,97,13.11,overcast clouds
334,Ozorkow,PL,51.9634,19.2914,47.95,90,76,6.55,broken clouds
335,Caravelas,BR,-17.7125,-39.2481,70.81,91,13,4.43,few clouds
336,Semirom,IR,31.4167,51.5667,46.56,37,71,0.67,broken clouds
337,Nhlangano,SZ,-27.1167,31.2,58.98,93,100,1.74,overcast clouds
338,Havelock,US,34.8791,-76.9013,67.98,95,0,0.0,clear sky
339,Blieskastel,DE,49.2372,7.2562,52.61,97,0,6.91,clear sky
340,Novoplatnirovskaya,RU,46.1065,39.4191,55.44,83,100,10.45,overcast clouds
341,Murmino,RU,54.6036,40.0544,36.25,96,100,8.43,overcast clouds
342,Quang Ngai,VN,15.1167,108.8,80.67,78,100,6.08,overcast clouds
343,Mossendjo,CG,-2.9506,12.7261,69.84,99,100,1.05,overcast clouds
344,Udachnyy,RU,66.4167,112.4,21.81,85,13,17.87,few clouds
345,Nova Olimpia,BR,-14.7972,-57.2881,82.18,58,56,7.11,broken clouds
